id,name,query
b266c973-a2f4-4e9e-adb9-d47a7f2750c0,"Bindura Rdc-chinehasha Rural Healt Centre","Chinehasha Communal Lands P.o.box 70 Concession, Bindura, Mashonaland Central"
b460f339-45b0-4943-bde8-481fc8e8677f,"Bindura Rdc-chiveso Rural Healt Centre","Near Murembe Primary School Manhenga, Bindura, Mashonaland Central"
20fa31de-c2d7-4487-9ffa-51114796c802,"Bindura Rdc-hatcliff Clinic","Hatcliffe Extension High Density Suburb P.o.box 70, Bindura, Mashonaland Central"
44b03819-9682-4fdc-84ab-65754e0498d7,"Bindura Rdc-muonwe Rural Health Centre","Muonwe Business Centre, Bindura, Mashonaland Central"
a58afab4-02c2-4b8a-a555-ab54745e331f,"Bindura Rdc-nyakudya Rural Healt Centre","Nyakudya Communal Lands P.o.box 70 Concession, Bindura, Mashonaland Central"
e0ff69a3-66b6-4a0e-bad3-a195ea574e3d,"Bindura Rdc-shutu Rural Healt Centre","Shutu Communal Lands P.o.box 70 Concession, Bindura, Mashonaland Central"
1b15566c-e38d-4f88-acf3-095b21a462e9,"Bindura Rehab Clinc","Cnr Main Street/ Second Street, Bindura, Mashonaland Central"
7290b3f2-fb93-41b8-b09b-a2a4943d0d4a,"Bindura University Health Centre","1 Chimurenga Road Off Trojan Road, Bindura, Mashonaland Central"
0828b65d-8424-428a-8bf2-8eb1d8325e03,"Bindura University Optometry Clinic","Lot 3 Homans Plot, Bindura, Mashonaland Central"
a1d1b4d7-ff1d-401d-8472-13ef36964681,"Caring Hands","591 Manhenga Business Centre, Bindura, Mashonaland Central"
e8db07d1-03e7-46be-937b-edcdc6bbbdb6,"Chifmatt Investments","36 B First Street, Bindura, Mashonaland Central"
7307bdf3-9a02-4086-a95d-fb817787818d,"Chiwaridzo Medical Centre","1596 Chiwaridzo 1, Bindura, Mashonaland Central"
7a721371-e856-421a-a740-7f58307ac776,"Chiwaridzo Pharmacy","1596 Chiwaridzo 1 Shopping Centre, Bindura, Mashonaland Central"
07f95b9c-8ac8-43a3-8de0-c38eca826043,"Curehabour Pharmacy","Stand Number 1908 Nssa Area, Bindura, Mashonaland Central"
0922c541-20c1-4ee8-aa7e-7361c9ce7165,"Delyn Pharmacy","Stand Number 1 Main Street, Bindura, Mashonaland Central"
192feaaa-3f80-4495-8a9a-2e21c1b0ca10,"Delyn Pharmacy","Stand Number 40 A Main Street, Bindura, Mashonaland Central"
24b8701d-27dd-4944-b66e-1edf5af7b018,"Dilon Curis Diagnostic Laboratory","1914 Authurstone Nssa Area, Bindura, Mashonaland Central"
b71c9378-bcad-46bd-ba1e-ae1ffebc6902,"Frontline Medical Clinic","2050 Chiwaridzo 2, Bindura, Mashonaland Central"
b70fad34-b351-4a3e-ac83-1028fea200ad,"Gamma Allergy And Immunology Laboratory - Trojan","Trojan Mine Clinic, Bindura, Mashonaland Central"
e87873ce-5563-49ba-a37d-a464c2565111,"Gamma Allergy & Immunology Laboratory","Trojan Mine Clinic, Bindura, Mashonaland Central"
493569c7-1cb4-4b9a-ab4a-1d9f4ba4969b,"Glidant Pharmacy","5768 Chipadze Bus Terminus, Bindura, Mashonaland Central"
57de6da6-6c7b-4c52-844d-5af6c5791ac6,"Grandpak Pharmacy - Aerodrome","7869 Aerodrome Centre, Bindura, Mashonaland Central"
127d4776-d0c6-4a98-828a-3f2680c0b2c9,"Grandpak Pharmacy-chiwaridzo","5105 Chiwaridzo Progress Shops, Bindura, Mashonaland Central"
05d4e2b9-1633-40b8-86ea-20391a060dba,"Green Cross Pharmacy","76 Cnr Main Street Second Street, Bindura, Mashonaland Central"
d3c63c81-17ee-4673-91f2-95485e495a91,"Happy Smiles Dental Surgery","1596 Chiwaridzo Shopping Centre, Bindura, Mashonaland Central"
c222b806-4aab-43d8-afcb-f08f96ad59f8,"Hutano Medical Centre","Kalmic House, Stand Number 22123 Corner Main Street And Appleby, Bindura, Mashonaland Central"
257c26bf-94a4-4531-957a-3a231403d76f,"Impali Pharmacy - Bindura","806 Joyno Shops, Bindura, Mashonaland Central"
332f2d05-c8ff-434b-b19b-20190464a9e3,"Interpath Medical Laboratory","1908 Atherstone Road, Bindura, Mashonaland Central"
95ae1519-2f0b-4f1e-add1-3918b9dc3d9a,"Lancet Clinical Laboratories - Bindura","1837 Atherston Road, Bindura, Mashonaland Central"
b068880d-2559-4833-b473-30ec233c7dcc,"Luyando Clinic","Shop 10 Nssa Commercial Centre, Bindura, Mashonaland Central"
60b60431-b4c7-41b4-913c-b8aa7206b7a4,"Macdent Dental Surgery","760 C Chenjerai Hunzvi Road, Bindura, Mashonaland Central"
9c942367-4963-4b9f-89b9-bd2a7f5fd32a,"Manhenga Pharmacy","613 Manhenga, Business Centre, Bindura, Mashonaland Central"
